#,Title,Description,Type,Status,Start Date,End Date,Budget,Reach,Target Audience
1,Employee Training Week 1,Employee Training Week terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,HR,Planned,2024-05-21,2024-06-16,53018920,42155,Business Clients
2,Influencer Collaboration 2,Influencer Collaboration terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Research,Planned,2024-09-03,2024-10-19,30845005,61401,Existing Customers
3,Community Outreach Program 3,Community Outreach Program terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Research,Completed,2024-01-29,2024-05-04,49924194,191361,Business Clients
4,Cloud Migration 4,Cloud Migration terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Marketing,Planned,2025-12-07,2026-04-04,23339464,183634,Urban Audience
5,Annual Report Publication 5,Annual Report Publication terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Research,Completed,2024-03-19,2024-04-11,32795605,148269,Business Clients
6,Mobile App Update 6,Mobile App Update terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,IT,Completed,2024-11-27,2024-12-14,43466486,87877,Urban Audience
7,UI/UX Improvement 7,UI/UX Improvement terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Research,Planned,2025-12-20,2026-01-31,15098927,84679,Tech Users
8,Employee Training Week 8,Employee Training Week terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,Ongoing,2025-10-08,2025-12-05,38718365,149811,Millennials
9,Employee Training Week 9,Employee Training Week terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Development,Completed,2025-10-10,2026-01-16,12758566,189783,Teachers & Students
10,Community Outreach Program 10,Community Outreach Program terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Research,Completed,2025-12-15,2026-03-13,36880743,89680,Teachers & Students
11,SEO Optimization 11,SEO Optimization terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Development,Ongoing,2024-09-07,2024-12-08,20362535,153393,General Public
12,SEO Optimization 12,SEO Optimization terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Event,On Hold,2025-03-05,2025-06-16,37406016,187359,Urban Audience
13,Security System Upgrade 13,Security System Upgrade terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Marketing,Completed,2025-05-09,2025-06-12,33108687,42817,Existing Customers
14,Digital Marketing Campaign 14,Digital Marketing Campaign terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Event,Completed,2025-09-29,2025-11-28,38057088,175079,Urban Audience
15,CSR School Donation 15,CSR School Donation terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,Planned,2024-08-02,2024-11-14,52581483,17170,Teachers & Students
16,E-Commerce Expansion 16,E-Commerce Expansion terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,HR,Ongoing,2025-09-10,2025-10-17,55290857,74954,Teachers & Students
17,Green Office Initiative 17,Green Office Initiative terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Event,Planned,2025-02-03,2025-02-27,6153717,117111,Youth Audience
18,E-Commerce Expansion 18,E-Commerce Expansion terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Development,Planned,2024-06-16,2024-07-13,19585640,139761,Business Clients
19,AI Chatbot Implementation 19,AI Chatbot Implementation terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Event,Planned,2024-11-23,2025-01-10,44510939,87332,Company Employees
20,E-Commerce Expansion 20,E-Commerce Expansion terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,HR,Planned,2024-03-28,2024-05-07,42566836,29934,Millennials
21,Webinar Series 21,Webinar Series terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,CSR,Completed,2025-02-15,2025-05-06,43751824,146256,Existing Customers
22,Cloud Migration 22,Cloud Migration terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,CSR,Planned,2025-04-08,2025-06-16,69497077,17982,Millennials
23,Community Outreach Program 23,Community Outreach Program terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Research,Planned,2024-04-16,2024-05-31,46522067,59844,Teachers & Students
24,Customer Satisfaction Survey 24,Customer Satisfaction Survey terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,IT,On Hold,2024-08-31,2024-10-20,34193643,86390,Business Clients
25,E-Commerce Expansion 25,E-Commerce Expansion terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,CSR,Ongoing,2025-04-10,2025-08-06,69773612,59211,Existing Customers
26,AI Chatbot Implementation 26,AI Chatbot Implementation terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Development,Ongoing,2025-05-18,2025-08-19,34024069,84048,Teachers & Students
27,Employee Training Week 27,Employee Training Week terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Development,Planned,2024-04-25,2024-05-14,67800480,127585,Existing Customers
28,Customer Satisfaction Survey 28,Customer Satisfaction Survey terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,CSR,On Hold,2024-05-23,2024-08-21,38611549,152247,General Public
29,Cloud Migration 29,Cloud Migration terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Marketing,Planned,2024-03-24,2024-04-12,62372085,91258,Teachers & Students
30,Webinar Series 30,Webinar Series terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Development,Completed,2024-07-19,2024-10-30,37160085,28441,Youth Audience
31,Cloud Migration 31,Cloud Migration terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,HR,Ongoing,2025-04-07,2025-07-25,33950186,12005,Internal Staff
32,Green Office Initiative 32,Green Office Initiative terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Research,Completed,2024-11-11,2025-02-14,22898929,114828,Existing Customers
33,Security System Upgrade 33,Security System Upgrade terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,IT,Planned,2025-06-24,2025-08-01,55925777,186933,Existing Customers
34,Green Office Initiative 34,Green Office Initiative terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Marketing,Completed,2024-08-06,2024-10-21,50173001,14513,General Public
35,Digital Marketing Campaign 35,Digital Marketing Campaign terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,IT,Completed,2024-10-11,2025-01-06,51490466,138869,Teachers & Students
36,AI Chatbot Implementation 36,AI Chatbot Implementation terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Marketing,Ongoing,2024-12-10,2025-03-14,63913981,61860,Teachers & Students
37,E-Commerce Expansion 37,E-Commerce Expansion terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,IT,On Hold,2025-02-23,2025-03-23,55556265,77330,Urban Audience
38,Mobile App Update 38,Mobile App Update terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Research,On Hold,2025-07-25,2025-11-11,67826065,27767,Internal Staff
39,Brand Awareness Ads 39,Brand Awareness Ads terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Research,Planned,2024-10-01,2024-12-07,38502910,89667,Business Clients
40,Data Analytics Project 40,Data Analytics Project terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,HR,Ongoing,2025-08-25,2025-11-21,20646900,133345,Company Employees
41,SEO Optimization 41,SEO Optimization terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,HR,Ongoing,2024-11-09,2025-01-23,33158238,43967,General Public
42,SEO Optimization 42,SEO Optimization terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Research,Ongoing,2025-12-18,2026-02-07,39126400,3112,Tech Users
43,Data Analytics Project 43,Data Analytics Project terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,CSR,Completed,2025-08-25,2025-11-18,46429129,33311,Millennials
44,AI Chatbot Implementation 44,AI Chatbot Implementation terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Marketing,Completed,2025-11-03,2025-12-04,41251925,199306,Millennials
45,Data Analytics Project 45,Data Analytics Project terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Development,Planned,2024-02-26,2024-05-13,63690137,36249,Urban Audience
46,AI Chatbot Implementation 46,AI Chatbot Implementation terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Development,On Hold,2024-01-16,2024-03-09,48047589,44489,Millennials
47,Cloud Migration 47,Cloud Migration terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,Completed,2024-12-10,2025-02-10,49515857,117501,Urban Audience
48,Mobile App Update 48,Mobile App Update terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Development,Planned,2025-03-09,2025-05-27,63187236,160271,Internal Staff
49,Green Office Initiative 49,Green Office Initiative terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Event,Ongoing,2024-05-16,2024-08-26,39291822,40096,Existing Customers
50,Employee Training Week 50,Employee Training Week terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Marketing,Ongoing,2024-03-20,2024-06-13,48134109,187146,Urban Audience
51,Webinar Series 51,Webinar Series terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Marketing,Ongoing,2025-07-10,2025-10-01,16576920,28199,Urban Audience
52,SEO Optimization 52,SEO Optimization terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,HR,Planned,2024-12-14,2025-02-02,69004660,117033,Existing Customers
53,Green Office Initiative 53,Green Office Initiative terkait implementasi AI untuk meningkatkan kinerja perusahaan.,CSR,Ongoing,2025-07-24,2025-08-22,40595150,152579,Millennials
54,E-Commerce Expansion 54,E-Commerce Expansion terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Event,Ongoing,2024-11-11,2025-02-10,6488469,67008,Tech Users
55,Customer Satisfaction Survey 55,Customer Satisfaction Survey terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Event,Ongoing,2024-12-07,2025-01-04,42836108,61809,Youth Audience
56,Customer Satisfaction Survey 56,Customer Satisfaction Survey terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Marketing,On Hold,2024-10-20,2025-01-30,12750394,196657,Internal Staff
57,Brand Awareness Ads 57,Brand Awareness Ads terkait implementasi AI untuk meningkatkan kinerja perusahaan.,IT,Completed,2025-12-15,2026-03-26,55684161,69921,General Public
58,AI Chatbot Implementation 58,AI Chatbot Implementation terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Development,Completed,2024-03-29,2024-05-18,37294658,173258,Company Employees
59,Security System Upgrade 59,Security System Upgrade terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Event,Planned,2024-03-07,2024-04-24,38559671,79400,Urban Audience
60,Customer Satisfaction Survey 60,Customer Satisfaction Survey terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Event,Completed,2024-09-15,2024-12-06,13353008,74149,Company Employees
61,AI Chatbot Implementation 61,AI Chatbot Implementation terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,HR,Completed,2025-10-18,2025-10-30,61587124,97893,Millennials
62,Customer Satisfaction Survey 62,Customer Satisfaction Survey terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,CSR,Completed,2024-03-08,2024-06-03,63814519,28276,Existing Customers
63,Annual Report Publication 63,Annual Report Publication terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Development,Ongoing,2025-06-23,2025-08-12,15885785,10215,Tech Users
